WS.partner,source,Year,Location,Rep,Plot,Row,Col,Block,GID,Sowing.Date,Origin,Height,Awnedness,Accession_number,WinterSurvival_Visual,VinterSurvival_TPVP_Index,Lodging_T,HD_Date,Anthesis.Date,DTH,DTA,DTM,Anther.extrusion.anther.retention,FHB1,FHB2,FHB3,FHB4,FHB5,FHB6,FHB1Date,FHB2Date,FHB3Date,FHB4Date,FHB5Date,FHB6Date,DFHB1,DFHB2,DFHB3,DFHB4,DFHB5,DFHB6,DON,AUDPC,FHB0,DFHB0,DFHBmax,AUDPC_std
BOKU,Boku_FHB,2020,Tulln,1,1084,12,5,NA,TS111,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,7.71,0.5,0.5,10,25,60,80,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,526.5,0,0,30,17.6
BOKU,Boku_FHB,2020,Tulln,1,1085,13,5,NA,TS142,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,3,NA,20,50,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,1080,0,0,30,36
BOKU,Boku_FHB,2020,Tulln,1,1086,14,5,NA,TS060,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,6.86,0.1,1,5,20,60,70,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,474.9,0,0,30,15.8
BOKU,Boku_FHB,2020,Tulln,1,1087,15,5,NA,TS230,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,3.43,NA,3,20,50,60,60,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,627,0,0,30,20.9
BOKU,Boku_FHB,2020,Tulln,1,1088,16,5,NA,TS072,2019-10-21,NA,75,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,4.71,0.5,5,20,50,80,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,764.5,0,0,30,25.5
BOKU,Boku_FHB,2020,Tulln,1,1089,17,5,NA,TS109,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,7.71,0.1,0.1,5,20,60,80,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,491.3,0,0,30,16.4
BOKU,Boku_FHB,2020,Tulln,1,1090,18,5,NA,TS213,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-27,2020-06-01,219,224,NA,3,1,10,30,70,90,90,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,10,14,18,22,26,30,NA,929,0,0,30,31
BOKU,Boku_FHB,2020,Tulln,1,1091,18,6,NA,TS021,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,0.86,0.1,15,50,70,70,90,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,900.9,0,0,30,30
BOKU,Boku_FHB,2020,Tulln,1,1092,17,6,NA,TS025,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,6,0,3,30,80,90,90,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,932,0,0,30,31.1
BOKU,Boku_FHB,2020,Tulln,1,1093,16,6,NA,TS169,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,4.29,NA,10,40,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,970,0,0,30,32.3
