Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,20/4,Taula_2019,155,1.0658112312756807,0.9029883681046988,0.8919191566692085
SA,20/8,Balsora_2016,155,1.6962654395444532,1.476359836809122,1.649533026041833
SA,20/8,Balsora_2017,155,1.7174471224319916,1.5282024949704285,1.688199856221839
SA,20/8,Porvenir_2020,155,0.7415064703907975,0.6860953173717078,0.6817224299543806
SA,20/8,Porvenir_2021,155,1.1341542858543623,1.0546423689000493,1.1498957860806593
SA,20/8,Taula_2018,155,1.335056057907248,1.265350107345132,1.2950103346025923
SA,20/8,Taula_2019,155,1.0678891612151193,0.910156352953578,0.9245313472227116
SA,24/0,Balsora_2016,155,1.55100789109874,1.3594533499989758,1.468187082474784
SA,24/0,Balsora_2017,155,1.6410712822928952,1.4652207566404811,1.5400577713173913
SA,24/0,Porvenir_2020,155,0.8511621065435254,0.8617573243861033,0.7107810530143378
SA,24/0,Porvenir_2021,155,1.1902419056690785,1.167160281050059,1.1152235938537223
SA,24/0,Taula_2018,155,1.2327312651452076,1.2279144629003966,1.200541644894643
SA,24/0,Taula_2019,155,1.0964020716266112,0.9598486540080152,0.8985955986490747
SA,24/4,Balsora_2016,155,1.6140345827164058,1.4135279393568323,1.5523250012981948
SA,24/4,Balsora_2017,155,1.6467730665365539,1.4806763316539453,1.5937222685072872
SA,24/4,Porvenir_2020,155,0.756836177611264,0.7381452403576612,0.6668684693735352
SA,24/4,Porvenir_2021,155,1.1279662930620256,1.0803544932669096,1.1192986591868277
SA,24/4,Taula_2018,155,1.2197845065141473,1.1774819630305198,1.2157920840721899
SA,24/4,Taula_2019,155,1.085351766330995,0.9584114485626032,0.9219169544082294
SA,24/7,Balsora_2016,155,1.575142857304529,1.380911133659292,1.4416973082725568
SA,24/7,Balsora_2017,155,1.6161786560289846,1.4534041137741143,1.5465621564869818
SA,24/7,Porvenir_2020,155,0.7828368427345049,0.7714230905422474,0.6905678028262915
SA,24/7,Porvenir_2021,155,1.0930807439497254,1.053364990250104,1.048469193166334
SA,24/7,Taula_2018,155,1.209112165496861,1.1777447742698177,1.193050075577737
SA,24/7,Taula_2019,155,1.0084994149478383,0.8957233762551315,0.8495999031199064
SA,28/0,Balsora_2016,155,1.4298303012846132,1.270109625992606,1.279325606924311
SA,28/0,Balsora_2017,155,1.4908104983412451,1.3383381745980403,1.3875631249171614
SA,28/0,Porvenir_2020,155,0.8423291862135578,0.9695159324148216,0.7855254712044092
SA,28/0,Porvenir_2021,155,1.169169890087419,1.198897473075244,1.1219168793474514
SA,28/0,Taula_2018,155,1.2341483008335197,1.281962722219235,1.2231685031467792
