Env,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
BOKU,TS185,-63.28782351966947,-0.17366637425175213,-8.288075713178841,1.0520721953434986
BOKU,TS186,-9070.009339565411,-4.785740293709978,118.69003155449172,-44.92765683152538
BOKU,TS187,-1250.998149476014,-0.219950034163503,-0.36023019821732305,2.386417584355513
BOKU,TS188,-3601.574725053273,-1.139289241043116,41.156092316668946,-20.006116253789514
BOKU,TS189,320.9461730113253,-0.4127509533120701,-8.464198983187089,10.458455494917871
BOKU,TS190,-552.2402807381004,-1.216739424721709,10.922886606917018,-6.422790729557164
BOKU,TS191,1588.4529960202053,0.6895916425062296,-22.89588698625448,1.006265153770073
BOKU,TS192,-1557.7152373623103,-0.002443138606395223,6.672037086827913,-9.652603591755906
BOKU,TS193,-1967.9180193832144,-1.8753049745628232,29.50851674200385,-0.8969035001427983
BOKU,TS194,5174.78647190053,1.50504687845023,-39.5069753456919,31.055666221309366
BOKU,TS195,4050.7146194800735,0.4581863315534065,-41.265341325546615,19.325245354848448
BOKU,TS196,-1730.3354700952768,-0.18971099759573917,10.926934858551249,-6.507370496557996
BOKU,TS197,-2245.1318482467905,0.43010457468335517,13.981464372685878,-16.53370535216527
BOKU,TS198,3869.1029057558626,0.9402913108476696,-33.743340057175374,13.076980844365607
BOKU,TS199,-248.6832171799615,-1.0133912428359508,15.27975883099134,-6.239738833581214
BOKU,TS200,918.3470418090001,0.32213900006922813,-18.19434885721421,5.294067754301068
BOKU,TS201,3004.5727234948426,0.6587499746342473,-34.33729908280657,18.367927278861316
BOKU,TS202,2845.4433231772855,-0.4477330849579175,-21.530641039833426,13.039558758704516
BOKU,TS203,3924.011335603893,0.07045137125192014,-23.962479604029795,15.969158321142459
BOKU,TS204,-3200.0475835576653,-1.8269396049390707,49.22597011839389,-17.619532553097088
BOKU,TS205,4184.771769018844,-0.14711048859021503,-43.24184501951095,19.80131511970103
BOKU,TS206,3389.2415701756254,0.7345264425823643,-25.204280003497843,23.060686054406688
BOKU,TS207,2395.9824344320223,-1.0205970861063633,-37.895628667465644,5.966692256526585
BOKU,TS208,1974.0702529950067,-0.4941991872069593,-15.061746117338771,10.882262245126185
BOKU,TS209,-298.49012603983283,0.4148533841778317,7.100614839437185,0.7681636253946635
BOKU,TS210,-1321.5635438933969,-1.4828047819078165,48.05489675843273,-14.355403979363473
BOKU,TS211,-302.5544400746003,-0.6333296401155621,10.751763198612025,-0.3365115021078964
BOKU,TS212,-2763.4522948348895,-1.8825054607098082,56.88786802414688,-14.944938658827596
BOKU,TS213,2436.4471155405045,0.5149901940503696,-23.3973820891988,16.701483097767778
BOKU,TS214,3320.678136096336,0.7065644914232507,-33.593663987354375,12.696756063112844
BOKU,TS215,3513.2073835423216,0.3531565570619932,-40.63815729794442,13.976258079881518
BOKU,TS216,-2479.348452113569,-0.7847512456962704,38.865947454905836,-9.1332692393662
BOKU,TS217,5491.709776270203,0.7151044798226849,-51.037803110462846,23.376026623896905
BOKU,TS218,4085.7943981951103,1.43451008785064,-40.60374914488057,23.529742311173322
BOKU,TS219,4164.996047498658,0.7973534020097759,-39.455825612007175,17.457579783094843
BOKU,TS220,4329.181516490877,0.477150604786857,-36.450749970186735,21.41396777200498
BOKU,TS221,3189.7737872777507,-0.03932302808357235,-48.06158768813475,13.6269327423106
BOKU,TS222,2584.2198568778113,0.12796766944279625,-26.265351090143668,11.861976363219583
BOKU,TS223,-414.2054932937026,-0.8438828559030753,0.07139376140548848,-5.85642146893224
BOKU,TS224,3540.6160117397085,-0.3452286921040013,-33.82040078722639,18.16633422137602
BOKU,TS225,-290.2628093911335,1.3101935296501779,10.069068992161192,1.28251243165505
BOKU,TS226,1151.7787760980427,-1.1836327740284105,-25.00866766087711,8.63587883855871
BOKU,TS227,5660.5531535912305,0.4185230056762066,-50.467076766333776,22.70273563388764
BOKU,TS228,-2039.9712479040027,-1.9125958167787758,60.933878143288894,-16.06275559039932
BOKU,TS229,3388.9723973572254,0.1837466594770376,-36.48049399338197,15.247663951522554
BOKU,TS230,-1881.4021360008046,-1.5874132524011202,34.59754388607689,-7.048008733712777
NMBU,TS001,-2043.4220201568678,-1.3624093523994816,679.9656798524084,-9.812351366905204
NMBU,TS002,2188.9611042281613,0.9974125186390665,-153.72549794905353,9.238043827728688
NMBU,TS003,684.9185794163495,0.22374237099893435,-216.8847633835394,2.5779829168168362
NMBU,TS004,1755.6603025263175,0.8705386676674607,175.98935044929385,7.485089570032869
NMBU,TS005,-1455.419927331619,-1.346870609915186,1326.259976153844,-8.188407650144654
NMBU,TS006,4856.841194548644,3.4711660703524103,-836.4485421719728,23.960727208217577
NMBU,TS007,-2809.6608031243086,-1.6208443128039107,625.8122206372209,-12.7155538128427
NMBU,TS008,3143.318654598668,2.780719677389243,-607.6530921783997,17.651998787830962
NMBU,TS009,596.0925354994833,1.19092178657138,-396.1906251645414,5.767682175053778
NMBU,TS010,-2381.555294394493,-1.6518221406931843,633.9393742035609,-11.636583539831918
NMBU,TS011,466.8678294075653,0.5798981966413521,-433.02319332247134,3.1588596516667167
