GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
TS070,-1044.5100235324353,-0.27643596743788823,181.30981657346592,-1.0838815569386888
TS071,-2553.0376083335714,-0.37303645696013654,229.99982698843996,-8.84643585412237
TS072,207.83255307243235,0.15382326347043507,9.599294544334953,2.9331151129308815
TS073,-5941.648164464605,-3.324052059199018,566.1514320911263,-28.733750223271834
TS074,-3375.972807558129,-1.734286810653261,81.18985280666311,-11.812458233424243
TS075,-3365.865726836697,-0.956411394222816,672.4091686710069,-15.391412437376355
TS076,-4407.666624627576,-2.2484048467613458,155.4494554922344,-18.204485475663134
TS077,-3653.3184031766727,-2.617727918094479,756.4442814173619,-11.245438916265934
TS078,-3759.210277755558,-1.8018873877452661,581.107125374155,-20.80042672186679
TS079,-4657.357463861579,-2.4587283222227914,552.4311627048537,-24.243931809875782
TS080,-1957.2286868677793,-1.1088857272363541,395.86429494350546,-8.421052826409587
TS081,-109.01187034066015,0.31049426845881123,-32.72735542685882,3.50798935261313
TS082,2438.036260659524,0.9627312433325916,-144.7510137326226,9.237104311266034
TS083,-66.89434892136433,0.17050998923784788,-140.93975736589596,-0.3206374705031223
TS084,1534.4084572979132,0.23495978307276633,-135.70544680277078,6.5855152814799816
TS085,3620.639183423866,1.1121689641991872,-124.31097378896766,16.956554959446958
TS086,-1008.1214181745004,-0.04403690131525306,-100.21297074415384,-3.586151047485199
TS087,384.9321164153198,-0.24033271260992883,-133.72555738889503,1.4978144685300308
TS088,-194.57096537999132,0.6086306161054367,-82.42716565743137,3.924449187224731
TS089,-1545.5251116163165,-0.31363111123133325,83.84988691007015,-6.7114612955677995
TS090,-1181.3586939775107,-0.6265111546016247,1.3058461214046702,-4.058094040307228
TS091,-2169.769383572971,-1.1017354881473134,40.750765658238834,-13.277071994166624
TS092,2351.973262212749,1.277070639192614,-170.76422972561738,14.310490441131993
TS093,32.52310428346027,-0.15852203993561953,-46.3338088250224,1.3075670460200222
TS094,1047.7144186753753,0.3774659092807946,-126.19912493431877,6.099736743691864
TS095,1151.5913441417774,0.10456062145034384,-52.51481253096381,-0.17623496543748374
TS096,-824.4595486743174,0.4469765804735206,-82.57722871463784,-4.742516192497245
TS097,2901.778643290005,0.789291553165445,-132.4796503751461,8.87713146854647
TS098,2733.7163460285697,0.958565019787426,-236.51635457581074,10.908188333436346
TS099,512.0786711572518,0.45990663661312814,-135.58478477944425,8.447684154238253
TS100,-2921.5239766867,-1.217623667098187,55.042820105498436,-13.17629270949304
TS101,-2693.0829140012147,-1.330449662216689,163.51111988785306,-10.576486737013232
TS102,4634.981025167042,2.1051365864287845,-321.2448044450754,15.421115347771323
TS103,533.4620974571803,0.0029451133176037203,-57.5704212309123,2.495777470104869
TS104,2131.551011354149,1.4115223448365057,-255.08563521606072,13.041174013356677
TS105,936.3313267168137,0.9661576067607607,-163.9401888463185,10.522673694166055
TS106,1294.3021116590385,0.3920473403825335,-79.09461074974934,8.843122277501543
TS107,1196.8307510916425,0.968994009861758,-169.86822422533123,8.593401366477433
TS108,108.83978523252108,-0.21635281583952537,18.886928299532997,4.067216207775363
TS109,-1160.3565690272699,-0.08136277406491388,-66.84029101907242,-4.193144461842618
TS110,-440.00251878143445,0.03259470388732155,-152.62834269386974,-2.2132225240814485
TS111,-797.4992171839922,0.2819771077003994,-113.66234885146264,-4.60066575542977
TS112,-233.71307342031105,-0.21832437590926168,-73.95751536050966,-1.4540448232461252
TS113,3397.6481260746928,0.7761079284500507,-44.59029076100626,9.615226494306047
TS114,3420.685234453637,0.7620623840921077,-228.21723645949714,11.06837369409045
TS115,1277.532528779016,0.9262262883324892,-195.0241528672268,8.35105464242637
TS116,2016.0520306566345,0.7730980926507662,-219.99401352663654,9.574452575298864
TS117,984.4259206908841,-0.08277223396497946,-5.7106544941450466,0.69043177554666
TS118,2550.045596850841,0.6612192869305824,-119.1087553978814,14.71842686767317
TS119,-294.3739792837441,-0.3093778240538907,116.89964707409013,-2.105025246004306
TS120,1412.8868837994219,0.5593916878598764,-96.40842254411734,8.121875235791446
TS121,1980.044416767288,1.4590891642519281,-191.62995051370103,17.389726862303828
TS122,1812.1267605803337,1.6172969040372278,-288.4731924137677,14.355701214375227
TS123,-983.0473113759817,0.09599421000104291,-132.64463937059872,-4.874624968950965
TS124,3733.5562563354547,1.3249191014303268,-225.37402325822165,15.81120521892895
TS125,1223.751229273847,0.6480847759622161,-205.11661323605279,8.647011216730142
TS126,661.3903666088058,0.6165452102665818,-156.81524357898593,8.767404350014662
TS127,2330.4061587096953,1.6603180042781598,-261.78922761110016,12.648421285378351
TS128,1797.4032270217926,0.4157068527787908,-142.83108045087772,4.264632443950351
TS129,524.0764667442427,-0.049732648547682556,-119.34809873952861,4.279990356781834
TS130,1884.9518437746578,0.4988503873225154,-235.61478696879942,5.28442067114921
TS131,-931.1947698520194,0.3415864618341822,-132.67068189843383,-0.29687330943211165
TS132,3043.7197853383127,1.6886538195617518,-308.8289584670464,17.200148829664005
TS133,-539.3029553105212,0.06786987436994574,-121.22534084982203,3.925832227244335
TS134,996.1195223759546,-0.23324823543797368,97.45699187619357,4.800490091843329
TS135,2840.2148137157315,0.777516347691023,-204.40876183709906,9.633581895976693
TS136,2937.3888479057237,1.4415123420783367,-217.56352340561602,14.588023543637963
TS137,4195.953470193876,1.1589813447252602,-229.9583973749243,13.04638011951086
TS138,-215.12640273164516,0.1846479453904959,65.60579239836977,0.2068618550735728
TS139,1147.1460837177815,-0.10978015428376953,-54.99647854189777,6.646083967554684
TS140,1371.0100845823104,0.9793632643320667,-277.4805932956459,9.648299124738394
TS141,1176.3831376830144,1.1142841092256948,-226.70714176960803,10.576448721235419
TS142,1294.767990969935,-0.04064597586788188,123.15494500046907,6.4212635352256235
TS143,3266.5593457335976,0.6533494963417845,-117.6590420032536,13.026092855827859
TS144,-740.7112918574335,-0.5988501452666415,-36.84852554732811,-1.8790552833183405
TS145,-1566.4572192096273,-0.45194679891097,266.38998234531414,-8.11051733182355
TS146,1486.3388281257462,1.1039807522667124,-244.7663996634344,6.380412252556951
TS147,92.94022272112943,0.34678075789784546,-97.76142727803551,1.4190451081076176
TS148,-1854.7777089113138,-0.7648444792868221,36.505478412412,-7.4045980238607125
TS149,-493.8918963743836,-0.4853149808850057,-104.74171853007351,-0.39662508339918645
TS150,985.8774003430103,0.42463441142495606,-184.70363286215104,5.910400220685688
TS151,-1376.189650514912,-0.5185246845092006,30.40836334502626,-3.9036214039800754
TS152,3015.5856067053514,0.7771337256917277,-147.59170223914487,9.470968906760397
TS153,391.95580067396395,0.13960249927987012,-94.38090520129674,5.871480800029381
TS154,2822.6841803931434,2.0917661157008176,-375.70253585632656,15.175585099973961
TS155,1662.5397212480989,0.6204716677115165,-217.464335642636,7.354265118912668
TS156,897.4706282302236,0.6153450886427216,-173.4481364361426,7.722998829626224
