gid,S_number,S_fresh,S_dry,B_weight,B_height,B_width,B_shape,H_cluster,H_rachis,P_cluster_weight,P_cluster_loss,P_rachis_weight,P_rachis_loss
gidG_5.5.109,2.016666666666766,0.02365500000000223,0.005598333333335471,2.25031355618768,1.6931691037440264,1.5308891886466105,1.1037958574479745,353.1732949238014,14.485773978334777,424.0308552743908,2.9710579454098354,13.16135042399709,14.363602770019089
gidG_5.5.116,3.255555555555568,0.13881555555555117,0.08348555555555254,0.5247534128201785,1.5256993371667993,1.2268755069418156,1.228487681349872,402.29457123683034,11.390796610720548,590.8693148498805,4.041579966453357,9.806887845671731,19.579967263451454
gidG_5.5.119,2.7375000000000163,0.1325975000000031,0.06748500000000213,1.9417867585938686,1.6626414962903338,1.4903441884248063,1.1158563696926196,585.0662602580074,18.455152935331345,760.473930169071,3.172587683484541,14.622109463431235,18.265070990456703
gidG_5.5.123,0.3444444444444906,0.006397777777775703,0.0042122222222202325,1.180222837377972,1.5206665585611057,1.2633390836810379,1.210379162285717,221.57640235474838,8.509636925366355,239.23241271133946,4.20478192686846,7.642636829289218,27.73943609346534
gidG_5.5.131,0.8428571428571472,0.01073571428571822,0.005677142857145526,1.0348641274181054,1.4392568991766803,1.2826127202435016,1.136255196037607,189.47492944066994,10.756238271023422,NA,NA,NA,NA
gidG_5.5.138,2.2999999999999843,0.11313111111110419,0.06510888888888504,3.361695901756965,2.2623311912201207,1.5096701783962576,1.4515327542211915,510.8263066170192,12.176802086261226,460.6641971139357,2.8218360836762493,9.493651226369256,25.537122340888967
gidG_5.5.139,0.7444444444445888,0.015491111111119688,0.006172222222226984,1.8650461302237533,1.632922581986549,1.459213863004031,1.1236287930718387,204.2118434725313,10.234755783172169,NA,NA,NA,NA
gidG_5.5.142,0.5444444444445475,0.006807777777778841,0.0014555555555554685,3.905302904524814,2.317362845474357,1.7185251943340305,1.3484117392793549,751.7012851458417,14.074361409807988,558.5846978294569,3.216516810707588,8.380761622993285,49.14478019725957
gidG_5.5.145,0.516666666666596,0.0017100000000009417,4.1000000000126786e-4,0.9176107701541372,1.4755798757011007,1.145450290300974,1.3022673300139276,341.4231552438569,10.753725638111288,242.80776591916032,4.921788671886108,8.655680020529662,28.288559574467158
gidG_5.5.149,1.366666666666761,0.01919333333334007,0.00725000000000469,1.8814971896289137,1.7575616755517234,1.4127570844372503,1.244477177762149,401.5735338219708,9.998261788907682,367.02427775852806,5.263358578398485,7.939274999857174,21.989345075713025
gidG_5.5.15,2.775000000000142,0.16770250000001866,0.07610250000000851,1.2830860905251238,1.5189060325554384,1.388057629084988,1.1059235045697469,349.0772958599322,9.731370610479821,353.72122868446814,3.4325283588308144,6.973608020871932,36.67724563458371
gidG_5.5.151,0.9400000000000466,0.003772000000004999,9.700000000016401e-4,2.406474325034798,1.907897662755408,1.4484016566405542,1.318695634871608,301.94212256598314,10.517902756035507,NA,NA,NA,NA
gidG_5.5.152,0.4000000000000411,0.0031433333333338587,0.0010733333333347761,2.5849455669798624,1.8506467335622152,1.5569176101508317,1.1896768151889145,627.389718402266,15.021591021115405,NA,NA,NA,NA
gidG_5.5.156,1.5888888888888224,0.01880888888888735,0.004439999999999205,2.303719339260489,1.8711530562058303,1.4848675202360235,1.2555907810322753,515.3446391219283,13.770009130941958,352.3416297397568,7.860068845556947,8.465843225456531,49.433060424795386
gidG_5.5.160,2.4166666666668615,0.15319500000000186,0.0743000000000007,1.926163799560954,1.7151350818725721,1.535097690525373,1.1328479581527013,449.7091083980613,14.018966909348011,471.2077680457172,3.006022616852457,9.142088554456212,36.59941587131744
gidG_5.5.162,0.35000000000004017,0.001649999999999284,4.16666666665851e-4,1.0862869628009204,1.4655880637900203,1.2711356207419435,1.1691426279394104,234.79172798927357,7.185655487662855,NA,NA,NA,NA
gidG_5.5.165,0.4500000000000409,0.0016916666666671274,3.0166666666721874e-4,2.544722043596514,1.9072019963816638,1.4916101639589936,1.2812334140011161,348.76444302768107,11.698409475849367,379.6646978294808,3.3870239572213436,10.080761622992908,22.765054974632978
gidG_5.5.17,0.0428571428572353,3.8857142857063806e-4,1.6428571428540048e-4,0.7024810158750263,1.3307498898913008,1.1965555633930491,1.1154325444952438,205.27935472079355,9.225226029104192,216.6500829355678,5.108366998991595,6.689932823129693,53.46727502448579
gidG_5.5.46,2.300000000000088,0.11009666666666425,0.05886833333333273,0.9014178297485431,1.3573916821605412,1.3264611323680622,1.0542322884074415,381.3482348396087,12.995165816533468,NA,NA,NA,NA
gidG_5.5.48,1.6750000000000016,0.015365,0.004067500000000049,1.6638446068205914,1.5345244195609136,1.3927901496992598,1.1138394369367894,230.1817493463007,7.176292288044634,216.1952786784908,5.151005036181787,5.824131224087914,36.10931401289457
gidG_5.5.50,2.055555555555607,0.019028888888890007,0.008526666666666956,0.5094317423237702,1.2300701733165076,1.1581160893005342,1.090647906240327,309.81637957850813,10.001841064529525,352.65833976667545,3.5176292556686506,8.014476827333608,26.20845223130026
gidG_5.5.53,2.060000000000019,0.17650600000000596,0.0797480000000032,0.272983015275273,1.278916893282349,1.2476691266654028,1.060587135607507,636.8448251677663,15.761934757264687,NA,NA,NA,NA
gidG_5.5.55,-1.3322676295501878e-15,-1.7763568394002505e-15,-4.3368086899420177e-16,0.4624284040419355,1.1393296265166113,1.1125717062598848,1.0532417186419614,214.72645404500713,9.407466844707695,201.44336431224696,5.781122290265715,7.864420026517489,23.90061610823473
gidG_5.5.56,2.1750000000000727,0.1065575000000039,0.05241375000000227,0.8314652181467586,1.424316927124654,1.4250869703227296,1.0301693572399004,438.0190282684324,11.530406776713965,733.5154765479266,4.042140777405048,17.891404825639107,1.2706227787251123
gidG_5.5.57,2.1938006966593093e-13,-6.019490461639521e-15,-2.33884092648573e-15,0.4056283576538493,1.1014552548634338,1.0915382029973246,1.0272105144917996,180.11714053050662,11.202629472564322,NA,NA,NA,NA
gidG_5.5.58,3.16666666666659,0.19714333333332928,0.10682499999999658,0.3114140739289777,1.352077224339016,1.2646823755280632,1.0987490239324365,374.730753610564,16.293127404492004,412.8821304552599,3.253221414965488,15.092953622081039,23.537497557567068
gidG_5.5.59,0.9714285714285511,0.00799571428571327,0.0027285714285713763,0.5277148453124325,1.1880901906112395,1.1519791701007989,1.0501720903175524,183.33683731613087,8.407733834648136,209.03727583641938,4.085640316123952,7.847278960204272,24.596588961453207
gidG_5.5.62,2.7888888888889083,0.17105888888888685,0.058913333333332436,1.5949986127374514,1.66621186218724,1.4178308759942146,1.1719908634803518,562.0261222562766,17.462995917959162,646.1052070511879,2.8040980462149334,14.51350615532279,15.168483234499975
gidG_5.5.65,0.6600000000001149,0.021347999999995974,0.011037999999998563,0.11399543556871317,1.061837191397963,1.023155783189134,1.0718118375343177,97.0353638851924,5.543266804276962,NA,NA,NA,NA
gidG_5.5.66,0.07142857142870973,2.757142857140963e-4,1.0571428571392325e-4,0.006019061230423173,1.009390245053447,0.9718430707299348,1.0669654095402565,168.93669256378553,6.341441293023115,156.11162973976127,3.7151601195589685,5.265843225456726,44.673933371969255
gidG_5.5.67,3.044444444444349,0.1827577777777856,0.09988666666666997,2.3701063628956285,1.8282541808643522,1.4816662509586158,1.218464169665823,445.2332244866245,11.358335593123432,510.851370166925,2.3973746402048515,10.264517713463647,23.537817038230383
gidG_5.5.68,2.466666666666783,0.17583777777776735,0.08955888888888404,0.8702027520136082,1.4657745107073192,1.3372386564872323,1.1086383732615115,432.86533837104446,12.204765028260443,493.1034997215106,3.5645595513696895,9.983340111456322,21.320889916657517
gidG_5.5.70,1.0374999999999803,0.053511250000001384,0.02397750000000069,0.6095581504152809,1.254355808748921,1.2303744642111787,1.0548247945532192,187.55319822051945,9.533571131900981,219.7654999400272,4.301484167656861,8.905232032163294,23.881510177445854
gidG_5.5.71,1.9000000000000827,0.005447999999981552,0.0015679999999901099,0.5671138951955905,1.2045167750344845,1.1406945726240822,1.071029469065558,287.4446807389864,8.294458346687831,244.53855314385623,4.369940945181879,7.145290692214613,34.45132191822921
gidG_5.5.72,0.6777777777777677,0.0024488888889007687,7.17777777783638e-4,2.5977516755463848,1.7613040124540311,1.5789982009511094,1.120142877716539,661.1347665163582,13.652005995082472,523.2520196306232,4.30728668725355,9.634433626928042,32.56225722676543
gidG_5.5.76,2.5111111111111875,0.028737777777765094,0.008304444444438645,1.3826623999588203,1.431495981462043,1.3935035437920977,1.0424170376350061,693.5160210326279,23.85035276902527,543.7445224180734,3.962185589526202,15.479424021746178,30.462908979669947
