season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Italia.Pirovano,1,R1,340,15.2,0.05333000000000001
2018,jardin,G_Italia.Pirovano,1,R2,481,16,0.08546999999999999
2018,jardin,G_Italia.Pirovano,1,R3,504,14,0.11717999999999999
2018,jardin,G_Italia.Pirovano,2,R1,474,17.8,0.07178
2018,jardin,G_Italia.Pirovano,2,R2,252,18,0.05244000000000001
2018,jardin,G_Italia.Pirovano,2,R3,481,16,0.08225
2018,jardin,G_July.Muscat,1,R1,158,20,0.0444
2018,jardin,G_July.Muscat,1,R2,506,18.8,0.10274999999999998
2018,jardin,G_July.Muscat,1,R3,369,20,0.14095
2018,jardin,G_Kapistroni.tetri,1,R1,287,16,0.04981
2018,jardin,G_Kapistroni.tetri,1,R2,237,13,0.06771
2018,jardin,G_Kapistroni.tetri,1,R3,275,16.8,0.05251999999999999
2018,jardin,G_Kapistroni.tetri,2,R1,305,14.8,0.06444999999999998
2018,jardin,G_Kapistroni.tetri,2,R2,296,16,0.05342000000000001
2018,jardin,G_Kapistroni.tetri,2,R3,267,19.2,0.054099999999999995
2018,jardin,G_Kyoho,1,R1,310,18,0.14437
2018,jardin,G_Kyoho,1,R2,379,18,0.14843
2018,jardin,G_Kyoho,2,R1,383,19.5,0.1538
2018,jardin,G_Kyoho,2,R2,364,17,0.12110000000000001
2018,jardin,G_Kyoho,2,R3,337,19,0.16518000000000002
2018,jardin,G_Korithi,1,R3,329,16.4,0.04287
2018,jardin,G_Korithi,1,R1,251,18.2,0.020560000000000005
2018,jardin,G_Korithi,1,R2,473,16,0.05721999999999999
2018,jardin,G_Korithi,2,R1,666,16.4,0.03867
2018,jardin,G_Korithi,2,R2,157,20,0.04787
2018,jardin,G_Korithi,2,R3,452,19.2,0.055600000000000004
2018,jardin,G_K.Belyi,1,R1,557,16.8,0.053059999999999996
2018,jardin,G_K.Belyi,1,R2,491,13.6,0.035550000000000005
2018,jardin,G_K.Belyi,1,R3,410,16,0.03794
2018,jardin,G_Lameiro,1,R1,216,18.2,0.04347
2018,jardin,G_Lameiro,1,R2,301,18.4,0.06537
2018,jardin,G_Lameiro,1,R3,352,16.2,0.04911
2018,jardin,G_Lameiro,2,R1,278,16.6,0.056190000000000004
2018,jardin,G_Lameiro,2,R2,309,16,0.05591
2018,jardin,G_Lameiro,2,R3,218,16,0.04304000000000001
2018,jardin,G_Lameiro,3,R1,374,20,0.04684
2018,jardin,G_Lameiro,3,R2,216,18.2,0.06600999999999999
2018,jardin,G_Lameiro,3,R3,351,18,0.05347999999999999
2018,jardin,G_23,3,R3,422,15,0.001219
2018,jardin,G_23,1,R1,520,21,0.006119999999999998
2018,jardin,G_23,1,R2,755,20.4,0.0030100000000000014
2018,jardin,G_23,1,R3,482,20.4,0.004570000000000002
2018,jardin,G_23,2,R1,653,17.2,0.0017300000000000037
2018,jardin,G_23,2,R2,488,15,0
2018,jardin,G_23,2,R3,391,17.4,0.0019499999999999962
2018,jardin,G_23,3,R1,670,19,0.004309999999999997
2018,jardin,G_23,3,R2,403,17.1,0.001429999999999998
2018,jardin,G_Magdalena,1,R1,86,18,0.07595999999999999
2018,jardin,G_Magdalena,1,R2,153,18,0.05683
2018,jardin,G_Magdalena,1,R3,93,20.4,0.05866
2018,jardin,G_Maravilla.de.Malaga,2,R2,728,16,0.08384
2018,jardin,G_Maravilla.de.Malaga,1,R1,377,16.4,0.07244999999999999
2018,jardin,G_Maravilla.de.Malaga,1,R2,512,17.2,0.06761000000000002
2018,jardin,G_Maravilla.de.Malaga,1,R3,454,16,0.059820000000000005
2018,jardin,G_Maravilla.de.Malaga,2,R1,403,20,0.0428
2018,jardin,G_Maravilla.de.Malaga,2,R3,399,16.8,0.06040000000000001
2018,jardin,G_Medouar,1,R1,675,16.4,0.08096
2018,jardin,G_Medouar,3,R2,366,18,0.07654000000000001
2018,jardin,G_Medouar,1,R2,660,16,0.08025
2018,jardin,G_Medouar,1,R3,622,18,0.08934
2018,jardin,G_Medouar,2,R1,642,17,0.08458
2018,jardin,G_Medouar,2,R2,376,16,0.09288
2018,jardin,G_Medouar,2,R3,700,16,0.07131000000000001
2018,jardin,G_Medouar,3,R1,570,17.2,0.07687999999999999
2018,jardin,G_Medouar,3,R3,438,18.4,0.06844000000000001
2018,jardin,G_Mehdik,3,R1,178,16,0.030330000000000006
2018,jardin,G_Mehdik,1,R1,185,16.2,0.018900000000000007
2018,jardin,G_Mehdik,2,R1,128,17,0.024529999999999996
2018,jardin,G_Melissa,1,R1,190,21,0
2018,jardin,G_Melissa,1,R2,182,19,0
2018,jardin,G_Melissa,2,R1,256,15,0
2018,jardin,G_Melissa,2,R2,127,17.6,0
2018,jardin,G_Melissa,3,R1,204,18.4,0
2018,jardin,G_Melissa,3,R2,246,17,0
