season,family,gid,plant,replicated,P_rachis_loss,soluble_solids,S_dry
2019,111,G_5.7.102,1,R3,50,19,4.4e-4
2019,406,G_5.7.128,1,R1,0,18,0.00411
2019,406,G_5.7.128,1,R2,58,19,0.0036
2019,111,G_5.7.46,1,R1,42.50000000000001,21,0.00717
2019,111,G_5.7.46,1,R2,73.33333333333333,22,0.00295
2019,111,G_5.7.46,1,R3,0,22,0.00547
2019,900,G_5.9.109,1,R1,38,17,0.00151
2019,900,G_5.9.109,1,R2,0,21,0.00609
2019,900,G_5.9.109,1,R3,44.347826086956516,20,0.00437
2019,900,G_5.9.117,1,R1,55.5,17,0.0985
2019,900,G_5.9.117,1,R2,22.499999999999996,16,0.06353
2019,111,G_5.7.108,1,R1,0,14,0.01018
2019,111,G_5.7.108,1,R2,22.307692307692314,17,0.00816
2019,111,G_5.7.108,1,R3,49.473684210526315,19,0.01165
2019,411,G_5.6.169,1,R1,65.51724137931035,17,0.00118
2019,411,G_5.6.105,1,R1,42.857142857142854,21,0.08155
2019,411,G_5.6.105,1,R2,21.250000000000004,22,0.07718
2019,411,G_5.6.105,1,R3,58.75,29,0.07502
2019,900,G_5.9.122,1,R1,0,21,0.00304
2019,900,G_5.9.122,1,R2,0,17,0.00669
2019,900,G_5.9.122,1,R3,0,17,0.00707
2019,411,G_5.6.124,1,R1,54.57142857142858,16,0.07255
2019,411,G_5.6.124,1,R2,22.799999999999997,16,0.07751
2019,406,G_5.7.153,1,R1,20,19,0.0725
2019,406,G_5.7.153,1,R2,53.84615384615385,19,0.09803
2019,929,G_5.10.138,1,R1,63.18181818181818,18,0.13679
2019,411,G_5.6.129,1,R1,0,19,0.01569
2019,411,G_5.6.129,1,R2,36.666666666666664,16,0
2019,411,G_5.6.129,1,R3,18.571428571428566,20,0.0098
2019,411,G_5.6.108,1,R1,41.81818181818181,20,0
2019,411,G_5.6.108,1,R2,32,17,0
2019,411,G_5.6.108,1,R3,72.85714285714285,19,0
2019,111,G_5.5.68,1,R1,82.38095238095238,18,0.09935
2019,111,G_5.5.68,1,R2,0,18,0.09262
2019,111,G_5.5.68,1,R3,0,19,0.09623
2019,929,G_5.10.152,1,R1,0,10,0.01155
2019,912,G_5.9.153,1,R1,53.333333333333336,19,0.07194
2019,912,G_5.9.153,1,R2,17.500000000000004,20,0.03394
2019,900,G_5.9.119,1,R1,43.75,15,0.06609
2019,900,G_5.9.124,1,R1,0,21,0.07577
