season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_Agourane,1,R2,1.1056338028169015,15,0.03828
2020,jardin,G_Agourane,1,R2,1.0642857142857143,15,0.03828
2020,jardin,G_Agourane,1,R2,1.2580645161290323,15,0.03828
2020,jardin,G_Agourane,1,R2,1.1014492753623188,15,0.03828
2020,jardin,G_Agourane,1,R2,1.0458715596330272,15,0.03828
2020,jardin,G_Agourane,1,R2,1.0844155844155843,15,0.03828
2020,jardin,G_Agourane,1,R2,1.1954887218045114,15,0.03828
2020,jardin,G_Agourane,1,R2,1.1567164179104477,15,0.03828
2020,jardin,G_Agourane,1,R2,1.1041666666666667,15,0.03828
2020,jardin,G_Agourane,1,R3,1.129032258064516,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0946745562130178,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0326797385620916,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0429447852760736,16,0.04553
2020,jardin,G_Agourane,1,R3,1.046242774566474,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0410958904109588,16,0.04553
2020,jardin,G_Agourane,1,R3,1.1066666666666667,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0942028985507248,16,0.04553
2020,jardin,G_Agourane,1,R3,1.0566037735849056,16,0.04553
2020,jardin,G_Agourane,1,R3,1.108433734939759,16,0.04553
2020,jardin,G_Agourane,2,R1,1.119205298013245,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1696969696969697,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1058823529411765,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1125827814569536,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.0726256983240223,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.10062893081761,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.0613496932515338,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1132075471698113,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1633986928104576,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.1823899371069182,17,0.062240000000000004
