season,family,gid,plant,replicated,B_width,soluble_solids,S_dry
2020,jardin,G_AK.ouziom,3,R1,1.71,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.72,20,0.04518
2020,jardin,G_AK.ouziom,3,R2,1.67,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.78,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,2.04,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.98,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.91,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.96,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.86,18,0.055349999999999996
2020,jardin,G_AK.ouziom,3,R2,1.88,18,0.055349999999999996
2020,jardin,G_Alburla,1,R1,1.71,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.6,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.58,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.68,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.74,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.63,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.67,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.48,19,0.08186000000000002
2020,jardin,G_Alburla,1,R1,1.79,19,0.08186000000000002
2020,jardin,G_Alburla,1,R2,1.72,19,0.0896
2020,jardin,G_Alburla,1,R2,1.81,19,0.0896
2020,jardin,G_Alburla,1,R2,1.76,19,0.0896
2020,jardin,G_Alburla,1,R2,1.65,19,0.0896
2020,jardin,G_Alburla,1,R2,1.73,19,0.0896
2020,jardin,G_Alburla,1,R2,1.58,19,0.0896
2020,jardin,G_Alburla,1,R2,1.77,19,0.0896
2020,jardin,G_Alburla,1,R3,1.57,21,0.08828
2020,jardin,G_Alburla,1,R3,1.73,21,0.08828
2020,jardin,G_Alburla,1,R3,1.64,21,0.08828
2020,jardin,G_Alburla,1,R3,1.5,21,0.08828
2020,jardin,G_Alburla,1,R3,1.79,21,0.08828
2020,jardin,G_Alburla,1,R3,1.65,21,0.08828
2020,jardin,G_Alburla,1,R3,1.61,21,0.08828
2020,jardin,G_Alburla,1,R3,1.53,21,0.08828
2020,jardin,G_Alburla,1,R3,1.72,21,0.08828
2020,jardin,G_Alburla,1,R3,1.75,21,0.08828
2020,jardin,G_Alburla,2,R1,1.55,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.54,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.57,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.75,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.76,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.56,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.64,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.7,19,0.09452999999999999
2020,jardin,G_Alburla,2,R1,1.52,19,0.09452999999999999
2020,jardin,G_Alburla,2,R2,1.4,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.39,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.48,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.55,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.62,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.42,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.18,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.17,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.32,17,0.08770000000000001
2020,jardin,G_Alburla,2,R2,1.66,17,0.08770000000000001
2020,jardin,G_Alburla,2,R3,1.62,18,0.08924
2020,jardin,G_Alburla,2,R3,1.33,18,0.08924
2020,jardin,G_Alburla,2,R3,1.39,18,0.08924
2020,jardin,G_Alburla,2,R3,1.56,18,0.08924
2020,jardin,G_Alburla,2,R3,1.65,18,0.08924
2020,jardin,G_Alburla,2,R3,1.43,18,0.08924
2020,jardin,G_Alburla,2,R3,1.68,18,0.08924
2020,jardin,G_Alburla,2,R3,1.57,18,0.08924
2020,jardin,G_Alburla,3,R1,1.54,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.69,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.57,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.65,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.67,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.83,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.85,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.73,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.76,17,0.10952000000000002
2020,jardin,G_Alburla,3,R1,1.78,17,0.10952000000000002
2020,jardin,G_Alburla,3,R2,1.46,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.53,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.48,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.62,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.57,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.6,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.66,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.39,16,0.09096000000000001
2020,jardin,G_Alburla,3,R2,1.65,16,0.09096000000000001
2020,jardin,G_Alburla,3,R3,1.59,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.72,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.44,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.73,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.64,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.71,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.69,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.65,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.7,18,0.09440000000000001
2020,jardin,G_Alburla,3,R3,1.82,18,0.09440000000000001
2020,jardin,G_Arna.Guirna,1,R1,1.66,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.75,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.62,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.82,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.68,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.64,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R1,1.56,18,0.061919999999999996
